,security_code,security_name,ex_date,purpose,record_date,bc_start_date,bc_end_date,nd_start_date,nd_end_date,actual_payment_date
85,532482,GRANULES,05 Aug 2020,Final Dividend - Rs. - 0.2500,-,07 Aug 2020,13 Aug 2020, , ,-
86,500510,LT,05 Aug 2020,Final Dividend - Rs. - 8.0000,-,07 Aug 2020,13 Aug 2020, , ,-
87,531201,SHILCTECH,05 Aug 2020,Dividend - Rs. - 1.0000,-,07 Aug 2020,14 Aug 2020, , ,-
88,500575,VOLTAS,05 Aug 2020,Dividend - Rs. - 4.0000,-,07 Aug 2020,21 Aug 2020, , ,-
89,504258,LAKSELEC,06 Aug 2020,Dividend - Rs. - 0.5000,-,08 Aug 2020,14 Aug 2020, , ,-
90,524774,NGLFINE,06 Aug 2020,Final Dividend - Rs. - 1.7500,07 Aug 2020, , , , ,-
91,505800,RANEHOLDIN,06 Aug 2020,Final Dividend - Rs. - 4.0000,07 Aug 2020, , , , ,-
92,524542,SUKHJITS,06 Aug 2020,Dividend - Rs. - 2.0000,-,08 Aug 2020,13 Aug 2020, , ,-
93,500470,TATASTEEL,06 Aug 2020,Final Dividend - Rs. - 10.0000,-,08 Aug 2020,20 Aug 2020, , ,-
94,516072,VISHNU,06 Aug 2020,Dividend - Rs. - 1.0000,-,08 Aug 2020,14 Aug 2020, , ,-
95,500238,WHIRLPOOL,06 Aug 2020,Final Dividend - Rs. - 5.0000,-,08 Aug 2020,21 Aug 2020, , ,-
96,516030,YASHPAKKA,06 Aug 2020,Final Dividend - Rs. - 1.0000,07 Aug 2020, , , , ,-
97,532504,NAVINFLUOR,07 Aug 2020,Final Dividend - Rs. - 3.0000,-,11 Aug 2020,14 Aug 2020, , ,-
98,539523,ALKEM,10 Aug 2020,Final Dividend - Rs. - 3.0000,11 Aug 2020, , , , ,-
99,504212,UNIVCABLES,10 Aug 2020,Final Dividend - Rs. - 2.0000,-,12 Aug 2020,18 Aug 2020, , ,-
100,517015,VINDHYATEL,10 Aug 2020,Dividend - Rs. - 10.0000,-,12 Aug 2020,18 Aug 2020, , ,-
101,532460,PONNIERODE,11 Aug 2020,Dividend - Rs. - 4.0000,-,13 Aug 2020,19 Aug 2020, , ,-
102,518091,APCL,13 Aug 2020,Dividend - Rs. - 5.0000,-,15 Aug 2020,21 Aug 2020, , ,-
103,532400,BSOFT,13 Aug 2020,Final Dividend - Rs. - 1.0000,14 Aug 2020, , , , ,-
104,533761,GPTINFRA,13 Aug 2020,Final Dividend - Rs. - 1.5000,-,15 Aug 2020,21 Aug 2020, , ,-
105,532500,MARUTI,13 Aug 2020,Final Dividend - Rs. - 60.0000,-,15 Aug 2020,26 Aug 2020, , ,-
106,500040,CENTURYTEX,14 Aug 2020,Dividend - Rs. - 3.0000,-,18 Aug 2020,25 Aug 2020, , ,-
107,506390,CLNINDIA,17 Aug 2020,Final Dividend - Rs. - 11.0000,-,19 Aug 2020,20 Aug 2020, , ,-
108,500480,CUMMINSIND,17 Aug 2020,Final Dividend - Rs. - 7.0000,18 Aug 2020, , , , ,-
109,511196,CANFINHOME,18 Aug 2020,Dividend - Rs. - 2.0000,-,20 Aug 2020,26 Aug 2020, , ,-
110,523411,ADCINDIA,19 Aug 2020,Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020, , ,-
111,508906,EVERESTIND,19 Aug 2020,Final Dividend - Rs. - 1.0000,20 Aug 2020, , , , ,-
112,505255,GMM,19 Aug 2020,Final Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020, , ,-
113,519552,HERITGFOOD,19 Aug 2020,Dividend - Rs. - 2.5000,-,21 Aug 2020,28 Aug 2020, , ,-
114,532796,LUMAXTECH,19 Aug 2020,Final Dividend - Rs. - 1.0000,-,21 Aug 2020,28 Aug 2020, , ,-
115,517206,LUMAXIND,20 Aug 2020,Final Dividend - Rs. - 6.0000,-,22 Aug 2020,28 Aug 2020, , ,-
116,526479,SKYIND,20 Aug 2020,Final Dividend - Rs. - 0.5000,-,22 Aug 2020,28 Aug 2020, , ,-
117,506105,STANROS,20 Aug 2020,Dividend - Rs. - 6.0000,-,23 Aug 2020,29 Aug 2020, , ,-
118,506690,UNICHEMLAB,20 Aug 2020,Dividend - Rs. - 4.0000,-,24 Aug 2020,29 Aug 2020, , ,-
119,504741,INDIANHUME,21 Aug 2020,Dividend - Rs. - 2.0000,-,25 Aug 2020,04 Sep 2020, , ,-
120,590005,TIDEWATER,21 Aug 2020,Final Dividend - Rs. - 140.0000,-,25 Aug 2020,31 Aug 2020, , ,-
121,541403,DOLLAR,24 Aug 2020,Dividend - Rs. - 1.7000,-,26 Aug 2020,01 Sep 2020, , ,-
122,542905,SHIL,24 Aug 2020,Dividend - Rs. - 0.1500,-,26 Aug 2020,03 Sep 2020, , ,-
123,500041,BANARISUG,25 Aug 2020,Dividend - Rs. - 10.0000,-,27 Aug 2020,02 Sep 2020, , ,-
124,526797,GREENPLY,27 Aug 2020,Final Dividend - Rs. - 0.4000,-,31 Aug 2020,03 Sep 2020, , ,-
125,520043,MUNJALSHOW,27 Aug 2020,Final Dividend - Rs. - 4.5000,-,29 Aug 2020,10 Sep 2020, , ,-
126,500488,ABBOTINDIA,28 Aug 2020,Final Dividend - Rs. - 107.0000,-,01 Sep 2020,07 Sep 2020, , ,-
127,500488,ABBOTINDIA,28 Aug 2020,Special Dividend - Rs. - 143.0000,-,01 Sep 2020,07 Sep 2020, , ,-
128,505750,JOSTS,28 Aug 2020,Final Dividend - Rs. - 3.0000,-,01 Sep 2020,04 Sep 2020, , ,-
129,516108,STHINPA,28 Aug 2020,Final Dividend - Rs. - 1.5000,-,01 Sep 2020,26 Sep 2020, , ,-
130,500128,ELECTCAST,31 Aug 2020,Final Dividend - Rs. - 0.3000,-,02 Sep 2020,08 Sep 2020, , ,-
131,540393,SMLT,31 Aug 2020,Final Dividend - Rs. - 0.5000,-,02 Sep 2020,09 Sep 2020, , ,-
132,532051,SWELECTES,01 Sep 2020,Final Dividend - Rs. - 0.7500,-,03 Sep 2020,10 Sep 2020, , ,-
133,523606,SIKA,03 Sep 2020,Final Dividend - Rs. - 1.1000,-,05 Sep 2020,25 Sep 2020, , ,-
134,500336,SURYAROSNI,03 Sep 2020,Dividend - Rs. - 2.0000,04 Sep 2020, , , , ,-
135,504036,HIRECT,07 Sep 2020,Final Dividend - Rs. - 0.8000,-,09 Sep 2020,15 Sep 2020, , ,-
136,517168,SUBROS,07 Sep 2020,Final Dividend - Rs. - 0.8000,-,09 Sep 2020,15 Sep 2020, , ,-
137,507960,GUJHOTE,08 Sep 2020,Dividend - Rs. - 2.5000,-,10 Sep 2020,18 Sep 2020, , ,-
138,532503,RAJPALAYAM,08 Sep 2020,Dividend - Rs. - 1.0000,09 Sep 2020, , , , ,-
139,500187,HSIL,09 Sep 2020,Dividend - Rs. - 3.0000,-,11 Sep 2020,19 Sep 2020, , ,-
140,531426,TNPL,09 Sep 2020,Final Dividend - Rs. - 6.0000,-,11 Sep 2020,18 Sep 2020, , ,-
141,522215,HLEGLAS,10 Sep 2020,Dividend - Rs. - 2.5000,-,13 Sep 2020,16 Sep 2020, , ,-
142,523229,BHARATSE,11 Sep 2020,Dividend - Rs. - 0.5000,-,15 Sep 2020,21 Sep 2020, , ,-
143,532768,FIEMIND,11 Sep 2020,Final Dividend - Rs. - 3.0000,-,15 Sep 2020,21 Sep 2020, , ,-
144,503349,VICTMILL,11 Sep 2020,Final Dividend - Rs. - 50.0000,-,15 Sep 2020,29 Sep 2020, , ,-
145,500405,SUPPETRO*,14 Sep 2020,Final Dividend - Rs. - 1.5000,-,16 Sep 2020,18 Sep 2020, , ,-
146,509496,ITDCEM,15 Sep 2020,Dividend - Rs. - 0.3000,-,17 Sep 2020,23 Sep 2020, , ,-
147,533168,ROSSELLIND,15 Sep 2020,Final Dividend - Rs. - 0.2000,-,17 Sep 2020,23 Sep 2020, , ,-
148,505160,TALBROAUTO,15 Sep 2020,Dividend - Rs. - 0.5000,-,17 Sep 2020,25 Sep 2020, , ,-
149,523736,DVL,16 Sep 2020,Dividend - Rs. - 0.5000,-,18 Sep 2020,24 Sep 2020, , ,-
150,506618,PUNJABCHEM,16 Sep 2020,Final Dividend - Rs. - 1.5000,-,18 Sep 2020,25 Sep 2020, , ,-
151,508869,APOLLOHOSP,17 Sep 2020,Final Dividend - Rs. - 2.7500,-,19 Sep 2020,25 Sep 2020, , ,-
152,500052,BEPL,17 Sep 2020,Final Dividend - Rs. - 0.5000,-,19 Sep 2020,26 Sep 2020, , ,-
153,509480,BERGEPAINT,17 Sep 2020,Final Dividend - Rs. - 0.3000,-,19 Sep 2020,25 Sep 2020, , ,-
154,526729,GOLDIAM,17 Sep 2020,Final Dividend - Rs. - 1.5000,-,21 Sep 2020,25 Sep 2020, , ,-
155,509709,INTLCONV,17 Sep 2020,Dividend - Rs. - 0.2000,-,19 Sep 2020,26 Sep 2020, , ,-
156,540954,IWP,17 Sep 2020,Dividend - Rs. - 0.1000,-,19 Sep 2020,25 Sep 2020, , ,-
157,500378,JINDALSAW,17 Sep 2020,Dividend - Rs. - 2.0000,-,19 Sep 2020,25 Sep 2020, , ,-
158,532741,KAMDHENU,18 Sep 2020,Dividend - Rs. - 0.5000,-,22 Sep 2020,28 Sep 2020, , ,-
159,506530,KEMP,21 Sep 2020,Dividend - Rs. - 0.5000,-,23 Sep 2020,29 Sep 2020, , ,-
160,526409,KKALPANAIND,21 Sep 2020,Final Dividend - Rs. - 0.1200,-,23 Sep 2020,29 Sep 2020, , ,-
161,538964,MERCURYLAB,21 Sep 2020,Final Dividend - Rs. - 2.0000,-,23 Sep 2020,29 Sep 2020, , ,-
