,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
283,HITECH,Hi-Tech Pipes Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.25 PER SHARE,18-Sep-2017,,20-Sep-2017,25-Sep-2017
284,KAPSTON,Kapston Facilities Management Limited,SM,10,BONUS 1:6,27-Jan-2020,28-Jan-2020,,
285,KAPSTON,Kapston Facilities Management Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,28-Sep-2018
286,GIRIRAJ,null,SM,,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,29-Sep-2018
287,MAHICKRA,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
288,VERA,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
289,VERA,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
290,AVG,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,28-Sep-2019
291,DRSDILIP,DRS Dilip Roadlines Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
292,AGROPHOS,Agro Phos India Limited,SM,10,ANNUAL GENERAL MEETING,25-Sep-2017,,27-Sep-2017,29-Sep-2017
293,STEELCITY,Steel City Securities Limited,SM,10,INT DIV RE 1 PER SHARE,25-Oct-2018,26-Oct-2018,,
294,INFOBEAN,InfoBeans Technologies Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.50 PER SHARE,30-Aug-2018,,03-Sep-2018,10-Sep-2018
295,MBAPL,Madhya Bharat Agro Products Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,19-Sep-2018,,22-Sep-2018,27-Sep-2018
296,AKASH,Akash Infra-Projects Limited,SM,10,DIVIDEND - RS 0.50 PER SHARE,20-Sep-2019,23-Sep-2019,,
297,PAR,Par Drugs and Chemicals Limited,SM,,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,10-Jul-2020,,14-Jul-2020,21-Jul-2020
298,SOLEX,Solex Energy Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,05-Sep-2019,,07-Sep-2019,10-Sep-2019
299,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,08-Jul-2019,,10-Jul-2019,13-Jul-2019
300,NITIRAJ,Nitiraj Engineers Limited,SM,10,ANNUAL GENERAL MEETING,22-Aug-2019,,25-Aug-2019,31-Aug-2019
301,FOCUS,Focus Lighting and Fixtures Limited,SM,10,INTERIM DIVIDEND - RE 1 PER SHARE,06-Jun-2019,07-Jun-2019,,
302,TRANSWIND,Transwind Infrastructures Limited,SM,10,EXTRA ORDINARY GENERAL MEETING,05-Mar-2020,06-Mar-2020,,
303,MAHESHWARI,Maheshwari Logistics Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2017,,14-Sep-2017,21-Sep-2017
304,AIRAN,Airan Limited,SM,2,ANNUAL GENERAL MEETING,28-Aug-2017,,30-Aug-2017,06-Sep-2017
305,BETA,Beta Drugs Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
306,DPABHUSHAN,D. P. Abhushan Limited,SM,10,ANNUAL GENERAL MEETING,11-Sep-2018,,14-Sep-2018,21-Sep-2018
307,ZOTA,Zota Health Care LImited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RS 3 PER SHARE,02-Aug-2018,,04-Aug-2018,11-Aug-2018
308,MITTAL,Mittal Life Style Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,23-Sep-2018,29-Sep-2018
309,SIKKO,Sikko Industries Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
310,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,17-Sep-2018,23-Sep-2018
311,MOMAI,Momai Apparels Ltd.,SM,10,ANNUAL GENERAL MEETING/ DIVIDEND -  RE 0.75/- PER SHARE,14-Sep-2015,,16-Sep-2015,19-Sep-2015
312,AURDIS,Aurangabad Distillery Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,29-Sep-2017
313,AIROLAM,Airo Lam limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
314,PULZ,Pulz Electronics Limited,SM,10,DIVIDEND - RS 0.50 PER SHARE,06-Aug-2019,07-Aug-2019,,
315,PULZ,Pulz Electronics Limited,SM,10,INTERIM DIVIDEND - RE 0.25 PER SHARE,23-Jan-2020,24-Jan-2020,,
